Paper-ID,Smile,µM ,% Metabolic inhibition,IC50 (µM) L. mexicana,CC50 (µM) Macrophages J774 A.1,SI,Docking energy (kcal / mol),MD MM-PBSA (kcal / mol)
13a,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC=C3,17.1,89.3 ± 0.3,89.31,> 1710.4,187.27,14.979,
13b,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC=C3F,16.1,87.9 ± 1.1,87.95,> 1611.2,200.8,13.343,
13c,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC(F)=C3,16.1,89.7 ± 0.6,89.69,> 1611.2,210.97,15.814,
13d,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(F)C=C3,16.1,89.2 ± 0.9,89.23,> 1611.2,149.25,7.373,
13e,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC=C3Cl,15.3,90.9 ± 0.5,90.87,> 1530.1,462.96,13.864,-22.27
13f,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC(Cl)=C3,15.3,86.7 ± 0.4,86.66,> 1530.1,253.81,11.948,
13g,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(Cl)C=C3,15.3,78.1 ± 0.6,78.12,> 1530.1,126.58,12.145,
13h,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC=C3[N+]([O-])=O,14.8,91.2 ± 0.7,91.22,> 1482.2,344.83,8.925,
13i,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC([N+]([O-])=O)=C3,14.8,74.6 ± 0.4,74.61,> 1482.2,151.52,8.184,
13j,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C([N+]([O-])=O)C=C3,14.8,41.3 ±3.4,41.28,,,3.522,
13k,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC=C3C(F)(F)F,13.9,78.1 ± 1.5,78.13,> 1387.6,128.21,12.314,
13l,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=CC(C(F)(F)F)=C3,13.9,70.2 ± 2.2,70.17,> 1387.6,124.38,6.594,
13m,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(C(F)(F)F)C=C3,13.9,49.9 ±4.2,49.88,,,3.56,
13n,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(OC)C=C3,15.5,80.5 ± 2.3,80.49,> 1551.1,131.58,8.501,
13o,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(OC)C(OC)=C3,14.2,87.3 ± 0.4,87.32,> 1418.9,220.26,6.374,
13p,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC(OC)=C(OC)C(OC)=C3,13,81.8 ± 1.3,81.82,> 1307.5,173.01,-4.929,
13q,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC=C(N(C)C)C=C3,15,-0.2 ± 2.5,-0.2,,,5.875,
14a,O=C(/C=C/C1=CC=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,17.1,87.9 ± 0.6,87.85,> 1710.4,156.74,14.95,
14b,O=C(/C=C/C1=C(F)C=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,16.1,90.4 ± 0.6,90.36,> 1611.2,188.68,6.756,
14c,O=C(/C=C/C1=CC(F)=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,16.1,91.2 ± 0.4,91.15,> 1611.2,370.37,13.927,-16.13
14d,O=C(/C=C/C1=CC=C(F)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,16.1,86.3 ± 0.7,86.34,> 1611.2,221.24,12.792,
14e,O=C(/C=C/C1=C(Cl)C=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,15.3,78.4 ± 3.9,78.38,> 1530.1,140.85,14.26,
14f,O=C(/C=C/C1=CC(Cl)=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,15.3,56.3 ± 4.8,56.26,> 1530.1,97.85,14.176,
14g,O=C(/C=C/C1=CC=C(Cl)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,15.3,86.7 ± 1.3,86.73,> 1530.1,139.28,15.182,
14i,O=C(/C=C/C1=CC([N+]([O-])=O)=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,14.8,70.2 ± 3.9,70.18,> 1482.2,223.21,12.521,
14j,O=C(/C=C/C1=CC=C([N+]([O-])=O)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,14.8,24.4 ± 6.0,24.41,,,9.687,
14k,O=C(/C=C/C1=C(C(F)(F)F)C=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,13.9,46.2 ± 5.1,46.24,,,8.755,
14l,O=C(/C=C/C1=CC(C(F)(F)F)=CC=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,13.9,90.8 ± 0.5,90.82,> 1387.6,666.67,5.996,-15.86
14m,O=C(/C=C/C1=CC=C(C(F)(F)F)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,13.9,9.9 ± 7.3,9.91,,,3.96,
14n,O=C(/C=C/C1=CC=C(OC)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,15.5,27.3 ± 2.9,27.31,,,1.268,
14o,O=C(/C=C/C1=CC(OC)=C(OC)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,14.2,63.6 ± 8.7,63.62,> 1418.9,257.73,13.148,
14p,O=C(/C=C/C1=CC(OC)=C(OC)C(OC)=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,13.1,90.0 ± 0.3,89.99,> 1307.5,314.47,1.403,
14q,O=C(/C=C/C1=CC=C(N(C)C)C=C1)C2=CC(C=C(C)O3)=C3C(OC)=C2,15,1.0 ± 2.2,0.96,,,2.807,
15,O=C(/C=C/C1=CC(OC)=C(OC(C)=C2)C2=C1)C3=CC(C=C(C)O4)=C4C(OC)=C3,13.3,2.4 ± 6.6,2.41,,,9.212,
